query_id,start_time,ttft_time,ttft
0,1779170044.529759,1779170048.631426,4.101667
1,1779170045.541577,1779170048.795886,3.254309
2,1779170048.533033,1779170048.946688,0.413655
3,1779170048.671179,1779170053.204261,4.533082
4,1779170048.732867,1779170057.713824,8.980957
5,1779170054.082997,1779170062.330672,8.247675
6,1779170058.616714,1779170066.842318,8.225604
7,1779170062.212095,1779170066.994120,4.782025
8,1779170066.742184,1779170071.267869,4.525685
9,1779170066.791879,1779170075.820359,9.028480
10,1779170072.168742,1779170080.415600,8.246858
11,1779170075.696042,1779170080.567440,4.871397
12,1779170081.293285,1779170085.841561,4.548276
13,1779170081.302143,1779170090.365284,9.063141
14,1779170085.771768,1779170094.859767,9.087999
15,1779170090.259490,1779170099.259016,8.999526
16,1779170095.761403,1779170103.786775,8.025372
17,1779170099.149397,1779170103.892691,4.743294
18,1779170103.643513,1779170104.018805,0.375291
19,1779170104.701093,1779170109.230672,4.529579
20,1779170104.708999,1779170113.662632,8.953633
21,1779170109.103002,1779170113.786642,4.683640
22,1779170113.573887,1779170113.913082,0.339195
23,1779170113.628854,1779170118.248909,4.620055
24,1779170113.679240,1779170122.717790,9.038550
25,1779170118.118998,1779170122.875455,4.756457
26,1779170122.590254,1779170123.033542,0.443287
27,1779170122.675952,1779170127.280912,4.604960
28,1779170122.728723,1779170131.775224,9.046501
29,1779170122.735305,1779170131.910776,9.175472
30,1779170127.154257,1779170132.056216,4.901959
31,1779170131.671807,1779170136.346607,4.674800
32,1779170131.735876,1779170140.844702,9.108827
33,1779170131.784613,1779170145.365404,13.580792
34,1779170137.220857,1779170149.895287,12.674430
35,1779170140.720800,1779170150.049262,9.328462
36,1779170145.229385,1779170154.454628,9.225243
37,1779170149.792901,1779170158.938058,9.145157
38,1779170149.845255,1779170159.088248,9.242993
39,1779170154.329358,1779170159.230245,4.900887
40,1779170158.816768,1779170163.498798,4.682030
41,1779170159.900643,1779170168.014266,8.113622
42,1779170164.401863,1779170168.168195,3.766332
43,1779170167.878758,1779170168.312847,0.434088
44,1779170167.924763,1779170168.456052,0.531288
45,1779170167.980129,1779170172.458588,4.478458
46,1779170168.023587,1779170176.944938,8.921352
47,1779170172.393241,1779170177.108171,4.714930
48,1779170176.817388,1779170177.253087,0.435699
49,1779170176.933174,1779170181.418007,4.484834
50,1779170178.991845,1779170181.574204,2.582360
51,1779170182.319203,1779170182.507195,0.187992
